time_offset,driver_number,x,y,speed,rpm,n_gear,throttle,brake,drs,gap_to_leader,interval,position,lap_number,sector_1,sector_2,sector_3,lap_time,compound,tyre_age
68,10,-7069,-8159,0,3634,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
269,10,-7069,-8159,0,3579,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
568,10,-7069,-8159,0,3440,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
927,10,-7069,-8159,0,3498,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
1207,10,-7069,-8159,0,3436,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
1548,10,-7069,-8159,0,3497,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
1848,10,-7069,-8159,0,3500,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
2068,10,-7069,-8159,0,3550,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
2388,10,-7069,-8159,0,3562,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
2648,10,-7069,-8159,0,3494,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
2808,10,-7069,-8159,0,3453,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
2988,10,-7069,-8159,0,3491,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
3149,10,-7069,-8159,0,3491,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
3528,10,-7069,-8159,0,3489,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
3908,10,-7069,-8159,0,3474,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
4368,10,-7069,-8159,0,3321,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
4708,10,-7069,-8159,0,3344,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
5109,10,-7069,-8159,0,3593,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
5309,10,-7069,-8159,0,3421,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
5609,10,-7069,-8159,0,3456,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
5788,10,-7069,-8159,0,3546,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
6048,10,-7069,-8159,0,3557,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
6249,10,-7069,-8159,0,3540,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
6449,10,-7069,-8159,0,3513,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
6689,10,-7069,-8159,0,3527,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
6968,10,-7069,-8159,0,3470,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
7108,10,-7069,-8159,0,3470,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
7488,10,-7069,-8159,0,3488,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
7668,10,-7069,-8159,0,3530,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
8007,10,-7069,-8159,0,3471,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
8208,10,-7069,-8159,0,3480,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
8488,10,-7069,-8159,0,3529,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
8948,10,-7069,-8159,0,3507,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
9109,10,-7069,-8159,0,3507,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
10168,10,-7069,-8159,0,3597,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
10428,10,-7069,-8159,0,3597,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
10688,10,-7069,-8159,0,3456,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
11049,10,-7069,-8159,0,3525,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
11228,10,-7069,-8159,0,3525,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
11508,10,-7069,-8159,0,3500,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
11829,10,-7069,-8159,0,3530,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
12048,10,-7069,-8159,0,3481,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
12328,10,-7069,-8159,0,3464,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
12429,10,-7069,-8159,0,3464,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
12608,10,-7069,-8159,0,3540,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
12929,10,-7069,-8159,0,3513,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
13168,10,-7069,-8159,0,3517,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
13269,10,-7069,-8159,0,3517,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
13509,10,-7069,-8159,0,3534,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
13928,10,-7069,-8159,0,3482,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
14168,10,-7069,-8159,0,3435,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
14308,10,-7069,-8159,0,3508,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
14688,10,-7069,-8159,0,3531,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
14948,10,-7069,-8159,0,3582,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
15108,10,-7069,-8159,0,3368,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
15308,10,-7069,-8159,0,3368,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
15508,10,-7069,-8159,0,3497,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
15688,10,-7069,-8159,0,3584,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
15949,10,-7069,-8159,0,3565,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
16308,10,-7069,-8159,0,3481,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
16548,10,-7069,-8159,0,3458,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
16769,10,-7069,-8159,0,3604,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
16968,10,-7069,-8159,0,3596,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
17148,10,-7069,-8159,0,3477,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
17488,10,-7069,-8159,0,3529,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
17649,10,-7069,-8159,0,3529,0,0,0,1,17.127,2.152,9,0.0,0.0,0.0,0.0,0.0,,0.0
